time_s,Tj_K,Zth_KW
0.0715,307.8660,0.393300
0.0716,307.8680,0.393400
0.0717,307.8690,0.393450
0.0718,307.8710,0.393550
0.0719,307.8720,0.393600
0.0720,307.8730,0.393650
0.0721,307.8750,0.393750
0.0722,307.8760,0.393800
0.0723,307.8780,0.393900
0.0724,307.8790,0.393950
0.0725,307.8800,0.394000
0.0726,307.8820,0.394100
0.0727,307.8830,0.394150
0.0728,307.8840,0.394200
0.0729,307.8860,0.394300
0.0730,307.8870,0.394350
0.0731,307.8890,0.394450
0.0732,307.8900,0.394500
0.0733,307.8910,0.394550
0.0734,307.8930,0.394650
0.0735,307.8940,0.394700
0.0736,307.8950,0.394750
0.0737,307.8970,0.394850
0.0738,307.8980,0.394900
0.0739,307.9000,0.395000
0.0740,307.9010,0.395050
0.0741,307.9020,0.395100
0.0742,307.9040,0.395200
0.0743,307.9050,0.395250
0.0744,307.9060,0.395300
0.0745,307.9080,0.395400
0.0746,307.9090,0.395450
0.0747,307.9100,0.395500
0.0748,307.9120,0.395600
0.0749,307.9130,0.395650
0.0750,307.9140,0.395700
0.0751,307.9160,0.395800
0.0752,307.9170,0.395850
0.0753,307.9180,0.395900
0.0754,307.9200,0.396000
0.0755,307.9210,0.396050
0.0756,307.9220,0.396100
0.0757,307.9240,0.396200
0.0758,307.9250,0.396250
0.0759,307.9260,0.396300
0.0760,307.9280,0.396400
0.0761,307.9290,0.396450
0.0762,307.9300,0.396500
0.0763,307.9320,0.396600
0.0764,307.9330,0.396650
0.0765,307.9340,0.396700
0.0766,307.9350,0.396750
0.0767,307.9370,0.396850
0.0768,307.9380,0.396900
0.0769,307.9390,0.396950
0.0770,307.9410,0.397050
0.0771,307.9420,0.397100
0.0772,307.9430,0.397150
0.0773,307.9440,0.397200
0.0774,307.9460,0.397300
0.0775,307.9470,0.397350
0.0776,307.9480,0.397400
0.0777,307.9500,0.397500
0.0778,307.9510,0.397550
0.0779,307.9520,0.397600
0.0780,307.9530,0.397650
0.0781,307.9550,0.397750
0.0782,307.9560,0.397800
0.0783,307.9570,0.397850
0.0784,307.9590,0.397950
0.0785,307.9600,0.398000
0.0786,307.9610,0.398050
0.0787,307.9620,0.398100
0.0788,307.9640,0.398200
0.0789,307.9650,0.398250
0.0790,307.9660,0.398300
0.0791,307.9670,0.398350
0.0792,307.9690,0.398450
0.0793,307.9700,0.398500
0.0794,307.9710,0.398550
0.0795,307.9720,0.398600
0.0796,307.9740,0.398700
0.0797,307.9750,0.398750
0.0798,307.9760,0.398800
0.0799,307.9770,0.398850
0.0800,307.9790,0.398950
0.0801,307.9800,0.399000
0.0802,307.9810,0.399050
0.0803,307.9820,0.399100
0.0804,307.9840,0.399200
0.0805,307.9850,0.399250
0.0806,307.9860,0.399300
0.0807,307.9870,0.399350
0.0808,307.9880,0.399400
